藏,书名,题材,朝代,页数,今译状态,source_url,复核说明,语体,语体依据
子藏,萤窗清玩,笔记小说,清,13,无,https://baike.baidu.com/item/%E8%90%A4%E7%AA%97%E6%B8%85%E7%8E%A9/12547169,"【深度续查】仅清抄本e书,无现代译注本",,
子藏,藏一话腴,笔记小说,宋,2,不确定,https://m.bookschina.com/7210476.htm,"【深度续查】有全宋笔记点校本,但非白话今译",,
子藏,谐铎,笔记小说,清,12,无,https://book.douban.com/subject/1956966/,"【深度续查】仅校点影印本,未见白话译注本",,
子藏,述异记,笔记小说,魏晋南北朝,1,不确定,https://zh.wikipedia.org/zh-hans/%E8%BF%B0%E7%95%B0%E8%A8%98_(%E4%BB%BB%E6%98%89),"【深度续查】仅校注标点本,白话译注本未确证",,
史藏,佛国记,笔记小说,魏晋南北朝,2,确认有今译,https://m.douban.com/book/subject/3090793/,【深度续查】吴玉贵译注东方社2018现代汉语译,,
史藏,博物志,笔记小说,魏晋南北朝,6,确认有今译,https://book.douban.com/subject/33375688/,【深度续查】中华书局郑晓峰全注全译，另有祝鸿杰全译本,,
儒藏,韩诗外传,笔记小说,汉,13,确认有今译,https://m.iread.qq.com/detail/1050415156,【深度续查】中华书局李辉全本全注全译，赖炎元今注今译,,
子藏,香畹楼忆语,笔记小说,清,1,确认有今译,https://m.bookschina.com/8686280.htm,【深度续查】《香畹楼忆语今译详考精解》今译注释本,,
史藏,扬州画舫录,笔记小说,清,34,确认有今译,https://book.douban.com/subject/2281316/,【深度续查】周春东注本(山东友谊)，另有全文白话在线译文,,
子藏,搜神记,笔记小说,魏晋南北朝,6,确认有今译,https://weread.qq.com/web/reader/fdf32c50813ab83d9g0167c2,【深度续查】中华书局马银琴全本全注全译,,
子藏,云溪友议,笔记小说,隋唐,3,不确定,https://m.douban.com/book/subject/26969794/,【深度续查】仅见《云溪友议校笺》校注本，未见白话全译出版,,
子藏,云谿友议,笔记小说,隋唐,3,不确定,https://m.douban.com/book/subject/26969794/,【深度续查】同云溪友议，仅校笺本，未见白话全译出版,,
集藏,笑得好,笔记小说,清,12,不确定,https://www.wenyanguji.com/ji/xiaodehao,【深度续查】无独立出版译注本，仅在线译文；原文近白话,,
集藏,笑林,笔记小说,魏晋南北朝,1,确认有今译,https://www.wenyanguji.com/ji/xiaolin,【深度续查】多站有原文加白话全译，知乎/简书均有逐则今译,,
子藏,唐摭言,笔记小说,五代,12,确认有今译,https://www.books.com.tw/products/CN10917699,【深度续查】中华书局2025孔燕妮全本全注全译，另有多站白话,,
子藏,西湖佳话,话本拟话本,清,10,确认有今译,https://zh.wikipedia.org/zh-cn/%E8%A5%BF%E6%B9%96%E4%BD%B3%E8%AF%9D,【深度续查】邵大成校注本浙江人民/文艺多版，平话体易读,,
诗藏,大唐三藏取经诗话,话本拟话本,宋,3,确认有今译,https://www.zhzidian.com/dianji/datangsanzangqujingshihua/,【深度续查】李时人蔡镜浩校注本，另有原文加白话全文,,
佛藏,佛说鬼子母经,佛教故事,魏晋南北朝,1,确认有今译,https://www.fjdh.cn/wumin/2013/01/230241203893.html,【深度续查】佛教导航/显密文库有白话译讲，实地确认开头白话,,
佛藏,佛说鹿母经,佛教故事,魏晋南北朝,1,确认有今译,http://m.fojiaowang.com.cn/view.php?aid=38323,【深度续查】觉悟佛教网/国学典籍网白话译文，多站交叉确认,,
佛藏,佛说鹿母经之二,佛教故事,魏晋南北朝,2,确认有今译,https://zh.wikisource.org/zh-hans/%E4%BD%9B%E8%AA%AA%E9%B9%BF%E6%AF%8D%E7%B6%93_(%E7%AB%BA%E6%B3%95%E8%AD%B7%E8%AD%AF%E6%9C%AC%E4%BA%8C),【深度续查】与鹿母经同篇竺法护译本二，白话译文同主篇可查,,
佛藏,净土圣贤录续编,佛教故事,清,9,确认有今译,https://book.douban.com/subject/26708362/,【联网重核】巴蜀书社2015《净土圣贤录白话》含四编在售,,
佛藏,前世三转经,佛教故事,魏晋南北朝,1,确认有今译,http://m.fojiaowang.com.cn/view.php?aid=38313,【深度续查】觉悟佛教网/南国佛教/显密文库均有白话文参考,,
佛藏,摩邓女经,佛教故事,魏晋南北朝,1,确认有今译,http://read.goodweb.net.cn/news/news_view.asp?newsid=48334,【深度续查】显密文库白话页+QQ阅读+佛典故事白话本，多源,,
佛藏,方广大庄严经,佛教故事,隋唐,27,确认有今译,https://www.wenyanguji.com/zi/fangguangdazhuangyanjing,【深度续查】文言古籍网及国学典籍网均载白话全译,,
佛藏,未曾有因缘经,佛教故事,魏晋南北朝,2,确认有今译,https://www.yi55.com/never-had-karma-vernacular-exp-lanation-1.html,【深度续查】方广网白话实抓确认，另有Parnassus出版本,,
佛藏,杂宝藏经,佛教故事,魏晋南北朝,12,确认有今译,https://www.sklib.cn/booklib/bookPreview?ID=2074308,【联网重核】有《杂宝藏经注译与辨析》中国社科社及白话本,,
佛藏,法句譬喻经,佛教故事,魏晋南北朝,10,确认有今译,https://www.yi55.com/metaphor-classic.html,【联网重核】方广佛教网及禅世界有现代汉语白话本,,
佛藏,法显传,佛教故事,魏晋南北朝,1,确认有今译,https://book.douban.com/subject/3090793/,【联网重核】《佛国记注释》长春社、上海古籍校注本,,
佛藏,玉耶女经,佛教故事,魏晋南北朝,1,确认有今译,https://www.now818.com/post/9715.html,【联网重核】国学典籍网及佛教网有白话全文译本,,
佛藏,经律异相,佛教故事,魏晋南北朝,28,确认有今译,http://www.hanyushi.zju.edu.cn/2012/0417/c66229a2518609/page.htm,【联网重核】三民书局《新译经律异相》颜洽茂注译,,
佛藏,罗云忍辱经,佛教故事,魏晋南北朝,1,确认有今译,http://fowap.goodweb.net.cn/news/news_view.asp?newsid=48328,【联网重核】显密文库白话本及Readmoo电子书,,
佛藏,佛说玉耶女经,佛教故事,魏晋南北朝,1,确认有今译,https://www.now818.com/post/9715.html,"【联网重核】同玉耶女经,国学典籍网有白话全文译本",,
佛藏,佛说罗云忍辱经,佛教故事,魏晋南北朝,1,确认有今译,http://fowap.goodweb.net.cn/news/news_view.asp?newsid=48328,"【联网重核】同罗云忍辱经,显密文库有白话本",,
